序號,抽籤日期,證券名稱,證券代號,發行市場,申購開始日,申購結束日,承銷股數,實際承銷股數,承銷價(元),實際承銷價(元),撥券日期(上市、上櫃日期),主辦券商,申購股數,總承銷金額(元),總合格件,中籤率(%),取消公開抽籤 
200,114/07/22,亞昕,5213,上櫃增資,114/07/16,114/07/18,"2,975,000","2,975,000",26.95,26.95,114/07/30,富邦,"1,000","80,176,250","27,001",11.01,
201,114/07/14,寶德,3349,上櫃增資,114/07/08,114/07/10,"510,000","510,000",14.5,14.5,114/07/22,德信,"1,000","7,395,000","39,128",1.3,
202,114/07/07,昕奇雲端,7747,初上櫃,114/07/01,114/07/03,"746,000","746,000",96,96,114/07/11,凱基,"1,000","71,616,000","186,580",0.39,
203,114/06/25,皇翔,2545,上市增資,114/06/19,114/06/23,"4,420,000","4,420,000",38.5,38.5,114/07/03,元大,"1,000","170,170,000","98,001",4.51,
204,114/06/19,華新,1605,上市增資,114/06/13,114/06/17,"34,000,000","34,000,000",19,19,114/06/27,元大,"1,000","646,000,000","71,273",47.7,
205,114/06/11,益得,6461,上櫃增資,114/06/05,114/06/09,"2,250,000","2,250,000",17.4,17.4,114/06/19,台新,"1,000","39,150,000","6,726",33.45,
206,114/06/09,意騰-KY,7749,第一上市公司初上市,114/06/03,114/06/05,"929,000","929,000",330,330,114/06/13,元大,"1,000","306,570,000","52,121",1.78,
207,114/06/04,愛派司,6918,初上市,114/05/28,114/06/02,"797,000","797,000",75,75,114/06/10,統一,"1,000","59,775,000","136,904",0.58,
208,114/05/22,意藍,6925,初上櫃,114/05/16,114/05/20,"461,000","461,000",45.8,45.8,114/05/28,凱基,"1,000","21,113,800","116,436",0.39,
209,114/05/22,兆聯實業,6944,初上市,114/05/16,114/05/20,"1,227,000","1,227,000",262,262,114/05/28,富邦,"1,000","321,474,000","145,595",0.84,
210,114/05/21,生合,1295,初上櫃,114/05/15,114/05/19,"560,000","560,000",56.5,56.5,114/05/27,台新,"1,000","31,640,000","87,215",0.64,
211,114/05/16,昶瑞機電,7642,初上櫃,114/05/12,114/05/14,"870,000","870,000",66.18,66.18,114/05/22,富邦,"1,000","57,576,600","136,485",0.63,
212,114/05/15,創控,6909,初上市,114/05/09,114/05/13,"1,033,000","1,033,000",32,32,114/05/21,國泰,"1,000","33,056,000","129,106",0.8,
213,114/05/14,久禾光,6498,初上櫃,114/05/08,114/05/12,"1,102,000","1,102,000",72,72,114/05/20,宏遠,"1,000","79,344,000","86,303",1.27,
214,114/05/14,金利食安,7743,初上櫃,114/05/08,114/05/12,"591,000","591,000",28,28,114/05/20,凱基,"1,000","16,548,000","130,705",0.45,
215,114/05/12,醫影,6637,上櫃增資,114/05/06,114/05/08,"213,000","213,000",55.8,55.8,114/05/20,富邦,"1,000","11,885,400","103,994",0.2,
216,114/05/12,GOGOLOOK-創,6902,創新板轉列上市,114/05/06,114/05/08,"565,000","565,000",65,65,114/05/16,元大,"1,000","36,725,000","135,423",0.41,
217,114/05/02,立誠,6597,初上櫃,114/04/25,114/04/29,"679,000","679,000",96,86.57,114/05/08,福邦,"1,000","58,781,030","83,627",0.81,
218,114/04/24,築間,7723,初上櫃,114/04/18,114/04/22,"912,000","912,000",45,45,114/04/30,凱基,"1,000","41,040,000","82,385",1.1,
219,114/04/22,永鴻生技,6936,初上市,114/04/16,114/04/18,"2,021,000","2,021,000",28.01,28.01,114/04/28,富邦,"1,000","56,608,210","159,385",1.26,
220,114/04/18,立誠,6597,初上櫃,114/04/14,114/04/16,"679,000","679,000",110,---,114/04/24,福邦,"1,000",---,0,0,取消申購
221,114/04/11,正達,3149,上市增資,114/04/07,114/04/09,"3,400,000","3,400,000",30,30,114/04/21,台新,"1,000","102,000,000","1,168",100,
222,114/04/08,神盾,6462,上櫃增資,114/03/31,114/04/02,"890,000","890,000",102,102,114/04/16,元大,"1,000","90,780,000","30,220",2.94,
223,114/03/31,能率網通,8071,上櫃增資,114/03/25,114/03/27,"700,000","700,000",17.8,17.8,114/04/10,玉山,"1,000","12,460,000","98,474",0.71,
224,114/03/26,德晉,3466,上櫃增資,114/03/20,114/03/24,"1,476,000","1,476,000",50,50,114/04/07,台新,"1,000","73,800,000","18,177",8.12,
225,114/03/26,鑫聯大投控,3709,上櫃增資,114/03/20,114/03/24,"2,125,000","2,125,000",24,24,114/04/07,元大,"1,000","51,000,000","225,310",0.94,
226,114/03/24,岱宇,1598,上市增資,114/03/18,114/03/20,"1,020,000","1,020,000",27,27,114/04/01,統一,"1,000","27,540,000","9,117",11.18,
227,114/03/24,迅得,6438,上市增資,114/03/18,114/03/20,"340,000","340,000",185,185,114/04/01,台新,"1,000","62,900,000","28,778",1.18,
228,114/03/21,斐成,3313,上櫃增資,114/03/17,114/03/19,"4,420,000","4,420,000",12,12,114/03/31,合庫,"1,000","53,040,000","112,893",3.91,
229,114/03/21,旭軟,3390,上櫃增資,114/03/17,114/03/19,"850,000","850,000",22,22,114/03/31,中國信託,"1,000","18,700,000","110,334",0.77,
230,114/03/19,錼創科技-KY創,6854,創新板第一上市現增,114/03/13,114/03/17,"893,000","893,000",188,188,114/03/27,中國信託,"1,000","167,884,000","6,454",13.83,
231,114/03/19,愛山林,2540,上市增資,114/03/13,114/03/17,"4,250,000","4,250,000",83,83,114/03/27,國泰,"1,000","352,750,000","28,534",14.89,
232,114/03/19,台灣精材,3467,初上櫃,114/03/13,114/03/17,"593,000","593,000",35,35,114/03/25,元大,"1,000","20,755,000","292,585",0.2,
233,114/03/18,美吉吉-KY,8466,第一上市公司現金增資,114/03/12,114/03/14,"900,000","900,000",38.7,38.7,114/03/26,台新,"1,000","34,830,000","4,738",18.99,
234,114/03/14,博智,8155,上櫃增資,114/03/10,114/03/12,"425,000","425,000",100,100,114/03/24,凱基,"1,000","42,500,000","167,457",0.25,
235,114/03/14,恒耀,8349,上櫃增資,114/03/10,114/03/12,"1,700,000","1,700,000",53,53,114/03/24,富邦,"1,000","90,100,000","38,368",4.43,
236,114/03/13,必應,6625,上市增資,114/03/07,114/03/11,"765,000","765,000",68,68,114/03/21,台新,"1,000","52,020,000","27,853",2.74,
237,114/03/13,濾能,6823,上櫃增資,114/03/07,114/03/11,"468,000","468,000",48,48,114/03/21,永豐金,"1,000","22,464,000","133,613",0.35,
238,114/03/12,皇龍,3512,上櫃增資,114/03/06,114/03/10,"1,360,000","1,360,000",26,26,114/03/20,第一金,"1,000","35,360,000","91,884",1.48,
239,114/03/12,安國,8054,上櫃增資,114/03/06,114/03/10,"680,000","680,000",90,90,114/03/20,福邦,"1,000","61,200,000","86,817",0.78,
240,114/03/12,智通*,8932,上櫃增資,114/03/06,114/03/10,"340,000","340,000",90,90,114/03/20,福邦,"1,000","30,600,000","55,988",0.6,
241,114/03/12,達麗,6177,上市增資,114/03/06,114/03/10,"1,700,000","1,700,000",36,36,114/03/20,國泰,"1,000","61,200,000","134,075",1.26,
